project_name,developer_name,city,region,building_category,floorplan_name,bed_type,from_psf,to_psf,delta_pct,direction,from_date,to_date,city_source
Daniels MPV,"The Daniels Corporation, Choice Properties REIT",Brampton,Peel,high_rise,The Tram,0BR,806.95,668.16,-17.1992,CUT,2026-02-06,2026-03-11,raw
Maya Urban Towns,LIV Communities,Brampton,Peel,low_rise,The Marigold 1,2BR,438.59,438.59,0.0000,FLAT,2026-02-13,2026-03-06,raw
Maya Urban Towns,LIV Communities,Brampton,Peel,low_rise,The Marigold 2,2BR,431.03,431.03,0.0000,FLAT,2026-02-13,2026-03-06,raw
Maya Urban Towns,LIV Communities,Brampton,Peel,low_rise,The Marigold 3,2BR,432.89,432.89,0.0000,FLAT,2026-02-13,2026-03-06,raw
Maya Urban Towns,LIV Communities,Brampton,Peel,low_rise,The Peony,3BR,450.77,474.49,5.2632,RAISE,2026-02-06,2026-03-06,raw
Maya Urban Towns,LIV Communities,Brampton,Peel,low_rise,The Sunflower 2,3BR,458.77,458.77,0.0000,FLAT,2026-02-13,2026-03-06,raw
Maya Urban Towns,LIV Communities,Brampton,Peel,low_rise,The Trillium 1,3BR,438.87,438.87,0.0000,FLAT,2026-02-13,2026-03-06,raw
Maya Urban Towns,LIV Communities,Brampton,Peel,low_rise,The Wisteria 3,3BR,432.71,432.71,0.0000,FLAT,2026-02-13,2026-03-06,raw
Union by Mattamy Homes,Mattamy Homes,Brampton,Peel,low_rise,The Acorn End,3BR,481.52,481.52,0.0000,FLAT,2026-02-18,2026-03-10,raw
Union by Mattamy Homes,Mattamy Homes,Brampton,Peel,low_rise,The Cardinal,3BR,463.78,463.78,0.0000,FLAT,2026-02-18,2026-03-10,raw
Union by Mattamy Homes,Mattamy Homes,Brampton,Peel,low_rise,The Lawrence,3BR,424.22,432.37,1.9206,RAISE,2026-02-18,2026-03-10,raw
Union by Mattamy Homes,Mattamy Homes,Brampton,Peel,low_rise,The Mayflower,3BR,451.00,451.00,0.0000,FLAT,2026-02-18,2026-03-10,raw
Union by Mattamy Homes,Mattamy Homes,Brampton,Peel,low_rise,The Pinehurst,3BR,438.60,442.88,0.9749,RAISE,2026-02-18,2026-03-10,raw
Union by Mattamy Homes,Mattamy Homes,Brampton,Peel,low_rise,The Springfield End,3BR,443.08,443.08,0.0000,FLAT,2026-02-18,2026-03-10,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Aster,4BR,495.69,495.69,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Beech,4BR,480.23,480.23,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Caprea,4BR,513.69,513.69,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Cypress,4BR,461.03,461.03,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Elderberry,4BR,455.41,455.41,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Elm,5BR,437.11,437.11,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Grange,4BR,495.58,495.58,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Hawthorne,4BR,527.27,527.27,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Hazel,4BR,491.71,491.71,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Hemlock,4BR,532.75,532.75,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Juniper,5BR,453.96,453.96,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Laurel,4BR,505.30,505.30,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Maple,5BR,496.52,496.52,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Millcroft,4BR,500.34,500.34,0.0000,FLAT,2026-02-22,2026-03-27,raw
Caledon Trails,"Laurier Homes, Yorkwood Homes",Caledon,Peel,low_rise,Spruce,5BR,469.14,469.14,0.0000,FLAT,2026-02-22,2026-03-27,raw
The Willows Towns,"Damac Properties, Marlin Spring Developments",Clarington,Durham,low_rise,Amber A,3BR,465.10,410.33,-11.7760,CUT,2026-02-11,2026-03-31,raw
The Willows Towns,"Damac Properties, Marlin Spring Developments",Clarington,Durham,low_rise,Amber B,3BR,470.77,417.71,-11.2704,CUT,2026-02-11,2026-03-31,raw
The Willows Towns,"Damac Properties, Marlin Spring Developments",Clarington,Durham,low_rise,Amber C,3BR,459.51,406.56,-11.5239,CUT,2026-02-11,2026-03-31,raw
The Willows Towns,"Damac Properties, Marlin Spring Developments",Clarington,Durham,low_rise,Brook A,3BR,454.73,408.63,-10.1383,CUT,2026-02-11,2026-03-31,raw
The Willows Towns,"Damac Properties, Marlin Spring Developments",Clarington,Durham,low_rise,Brook B,3BR,455.57,410.52,-9.8892,CUT,2026-02-11,2026-03-31,raw
The Willows Towns,"Damac Properties, Marlin Spring Developments",Clarington,Durham,low_rise,Fern A,3BR,499.26,449.63,-9.9410,CUT,2026-02-11,2026-03-31,raw
The Willows Towns,"Damac Properties, Marlin Spring Developments",Clarington,Durham,low_rise,Fern B,3BR,504.76,458.64,-9.1361,CUT,2026-02-11,2026-03-31,raw
The Willows Towns,"Damac Properties, Marlin Spring Developments",Clarington,Durham,low_rise,Fern C,3BR,544.78,447.87,-17.7899,CUT,2026-02-11,2026-03-31,raw
The Willows Towns,"Damac Properties, Marlin Spring Developments",Clarington,Durham,low_rise,Grove B,4BR,501.17,448.47,-10.5165,CUT,2026-02-11,2026-03-31,raw
