period,entry_rate_pct,exit_rate_pct,net_entry_rate_pct,source_url
1983/1984,24.5,16.5,8.0,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1984/1985,22.2,16.1,6.1,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1985/1986,20.5,15.7,4.8,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1986/1987,20.8,15.2,5.6,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1987/1988,20.0,16.1,3.9,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1988/1989,19.4,16.7,2.7,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1989/1990,19.8,18.5,1.3,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1990/1991,18.8,19.1,-0.3,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1991/1992,18.4,17.3,1.1,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1992/1993,17.3,17.0,0.3,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1993/1994,17.4,16.7,0.7,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1994/1995,17.4,17.2,0.2,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1995/1996,17.9,17.9,0.0,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1996/1997,17.9,15.2,2.7,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1997/1998,16.7,14.4,2.3,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1998/1999,15.4,13.8,1.6,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
1999/2000,14.7,13.5,1.2,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
2000/2001,14.1,13.0,1.1,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
2001/2002,14.0,12.8,1.2,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
2002/2003,14.1,12.5,1.6,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
2003/2004,15.4,12.1,3.3,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
2004/2005,15.0,12.1,2.9,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
2005/2006,14.5,12.8,1.7,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
2006/2007,15.4,11.8,3.6,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
2007/2008,14.6,12.2,2.4,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
2008/2009,13.4,12.4,1.0,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
2009/2010,13.5,11.7,1.8,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
2010/2011,13.3,11.5,1.8,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
2011/2012,13.1,11.6,1.5,https://www150.statcan.gc.ca/n1/daily-quotidien/140825/cg-a001-eng.htm
