year,real_gdp_per_capita_2017_cad,source_table,source_url
2014,57728,Statistics Canada Table 36-10-0706-01,https://www.statcan.gc.ca/hub-carrefour/quality-life-qualite-vie/prosperity-prosperite/gdp-pib-eng.htm
2015,57637,Statistics Canada Table 36-10-0706-01,https://www.statcan.gc.ca/hub-carrefour/quality-life-qualite-vie/prosperity-prosperite/gdp-pib-eng.htm
2016,57627,Statistics Canada Table 36-10-0706-01,https://www.statcan.gc.ca/hub-carrefour/quality-life-qualite-vie/prosperity-prosperite/gdp-pib-eng.htm
2017,58657,Statistics Canada Table 36-10-0706-01,https://www.statcan.gc.ca/hub-carrefour/quality-life-qualite-vie/prosperity-prosperite/gdp-pib-eng.htm
2018,59427,Statistics Canada Table 36-10-0706-01,https://www.statcan.gc.ca/hub-carrefour/quality-life-qualite-vie/prosperity-prosperite/gdp-pib-eng.htm
2019,59681,Statistics Canada Table 36-10-0706-01,https://www.statcan.gc.ca/hub-carrefour/quality-life-qualite-vie/prosperity-prosperite/gdp-pib-eng.htm
2020,56015,Statistics Canada Table 36-10-0706-01,https://www.statcan.gc.ca/hub-carrefour/quality-life-qualite-vie/prosperity-prosperite/gdp-pib-eng.htm
2021,58998,Statistics Canada Table 36-10-0706-01,https://www.statcan.gc.ca/hub-carrefour/quality-life-qualite-vie/prosperity-prosperite/gdp-pib-eng.htm
2022,60735,Statistics Canada Table 36-10-0706-01,https://www.statcan.gc.ca/hub-carrefour/quality-life-qualite-vie/prosperity-prosperite/gdp-pib-eng.htm
2023,60277,Statistics Canada Table 36-10-0706-01,https://www.statcan.gc.ca/hub-carrefour/quality-life-qualite-vie/prosperity-prosperite/gdp-pib-eng.htm
2024,59738,Statistics Canada Table 36-10-0706-01,https://www.statcan.gc.ca/hub-carrefour/quality-life-qualite-vie/prosperity-prosperite/gdp-pib-eng.htm
