period,series_id,category,measure,loan_product,rate_pct,source_url
2025-10,V122667775,Mortgages,Funds advanced,"Residential mortgages, insured, Total",4.21,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667775,Mortgages,Funds advanced,"Residential mortgages, insured, Total",4.18,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667775,Mortgages,Funds advanced,"Residential mortgages, insured, Total",4.16,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667775,Mortgages,Funds advanced,"Residential mortgages, insured, Total",4.14,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667775,Mortgages,Funds advanced,"Residential mortgages, insured, Total",4.13,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667776,Mortgages,Funds advanced,"Residential mortgages, insured, variable rate",3.85,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667776,Mortgages,Funds advanced,"Residential mortgages, insured, variable rate",3.79,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667776,Mortgages,Funds advanced,"Residential mortgages, insured, variable rate",3.8,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667776,Mortgages,Funds advanced,"Residential mortgages, insured, variable rate",3.8,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667776,Mortgages,Funds advanced,"Residential mortgages, insured, variable rate",3.77,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667777,Mortgages,Funds advanced,"Residential mortgages, insured, fixed <1 year",8.15,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667777,Mortgages,Funds advanced,"Residential mortgages, insured, fixed <1 year",8.01,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667777,Mortgages,Funds advanced,"Residential mortgages, insured, fixed <1 year",7.76,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667777,Mortgages,Funds advanced,"Residential mortgages, insured, fixed <1 year",7.7,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667777,Mortgages,Funds advanced,"Residential mortgages, insured, fixed <1 year",8.03,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667778,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 1 to <3 years",5.16,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667778,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 1 to <3 years",5.32,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667778,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 1 to <3 years",5.27,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667778,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 1 to <3 years",5.23,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667778,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 1 to <3 years",5.29,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667779,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 3 to <5 years",3.9,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-11,V122667779,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 3 to <5 years",3.87,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-12,V122667779,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 3 to <5 years",3.86,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-01,V122667779,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 3 to <5 years",3.88,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2026-02,V122667779,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 3 to <5 years",3.89,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
2025-10,V122667780,Mortgages,Funds advanced,"Residential mortgages, insured, fixed 5 years and over",3.97,https://www.bankofcanada.ca/rates/banking-and-financial-statistics/interest-rates-for-new-and-existing-lending-by-chartered-banks/
