project_name,developer_name,city,region,building_category,floorplans_total,floorplans_raised,floorplans_cut,floorplans_flat,avg_delta_pct,max_raise_pct,max_cut_pct,city_source
6080 Yonge Condos,"Tridel, Arkfield",Toronto,Toronto,mid_rise,13,0,0,13,0.0,,,raw
8 Elm on Yonge Condos,"Capital Developments, Reserve Properties",Toronto,Toronto,high_rise,18,0,0,18,0.0,,,raw
8 Temple Condos,Curated Properties,Toronto,Toronto,mid_rise,26,0,3,23,-0.28,,-4.19,raw
Akra Living Condos,Curated Properties,Toronto,Toronto,high_rise,16,2,4,10,-0.51,0.8,-4.26,raw
Aqualuna at Bayside Condos,"Tridel, Hines",Toronto,Toronto,high_rise,5,0,5,0,-2.88,,-3.67,raw
Auberge On The Park Condos,"Tridel, Rowntree Enterprises",Toronto,Toronto,high_rise,5,0,5,0,-7.41,,-10.79,raw
Canary House Condos,"Dream, Kilmer Group",Toronto,Toronto,mid_rise,21,0,0,21,0.0,,,raw
Daniels FirstHome™ Keelesdale 2,"The Daniels Corporation, Diamondcorp, Kilmer Group",Toronto,Toronto,low_rise,4,3,0,1,1.65,2.61,,raw
Edenbridge on the Kingsway Condos,"Tridel, First Capital Realty",Toronto,Toronto,mid_rise,4,0,0,4,0.0,,,raw
Evermore at West Village Condos,Tridel,Toronto,Toronto,high_rise,5,0,0,5,0.0,,,raw
JOYA Condos,"Greybrook Realty Partners, Altree Developments, Marlin Spring Developments",Toronto,Toronto,mid_rise,15,1,0,14,0.11,1.63,,raw
KSquare Condos,Kingdom,Toronto,Toronto,high_rise,2,0,2,0,-3.51,,-4.57,raw
Line 5 Condos,"Reserve Properties, Westdale Properties",Toronto,Toronto,high_rise,12,0,0,12,0.0,,,raw
Line 5 South Tower Condos,"Reserve Properties, Westdale Properties",Toronto,Toronto,high_rise,11,0,0,11,0.0,,,raw
MRKT Alexandra Park Condos,Tridel,Toronto,Toronto,mid_rise,7,0,6,1,-5.91,,-12.6,raw
Olive Residences Condos,Capital Developments,Toronto,Toronto,high_rise,1,0,0,1,0.0,,,raw
Park Road Condos,Capital Developments,Toronto,Toronto,high_rise,11,0,0,11,0.0,,,raw
Q Tower Condos,"Lifetime Developments, Diamondcorp",Toronto,Toronto,high_rise,19,13,1,5,3.96,16.74,-0.18,raw
Queen Church Condos,"Tridel, Bazis Inc",Toronto,Toronto,high_rise,10,0,0,10,0.0,,,raw
Raglan House Condos,"Camrost-Felcorp, Trolleybus Urban Development Inc",Toronto,Toronto,high_rise,11,0,0,11,0.0,,,raw
The Dupont Condos,Tridel,Toronto,Toronto,mid_rise,9,0,0,9,0.0,,,raw
The Frederick Condos,Camrost-Felcorp,Toronto,Toronto,high_rise,22,0,0,22,0.0,,,raw
The Winston Collection Towns,Insoho Developments,Toronto,Toronto,low_rise,2,0,2,0,-4.79,,-5.08,raw
Tridel at The Well Condos,Tridel,Toronto,Toronto,mid_rise,9,0,0,9,0.0,,,raw
Untitled North Tower Condos,"Reserve Properties, Westdale Properties",Toronto,Toronto,high_rise,16,1,0,15,0.01,0.15,,raw
Untitled Toronto Condos,"Reserve Properties, Westdale Properties",Toronto,Toronto,high_rise,18,1,0,17,0.01,0.14,,raw
Westbend Residences Condos,Mattamy Homes,Toronto,Toronto,mid_rise,4,0,3,1,-6.38,,-9.4,raw
Westerly 2 Condos,"Tridel, Hollyburn Properties",Toronto,Toronto,high_rise,4,0,0,4,0.0,,,raw
Westerly Condos,Tridel,Toronto,Toronto,high_rise,5,0,0,5,0.0,,,raw
The Willows Towns,"Damac Properties, Marlin Spring Developments",Clarington,Durham,low_rise,27,0,27,0,-8.42,,-20.35,raw
Park & Lake,"Graywood Developments Ltd, Falconcrest Homes",Oshawa,Durham,low_rise,12,0,0,12,0.0,,,raw
Clarehaven Estates,Geranium,Pickering,Durham,low_rise,4,0,0,4,0.0,,,raw
Greenwood Seaton Towns by OPUS Homes,OPUS Homes,Pickering,Durham,low_rise,3,3,0,0,0.58,0.61,,raw
Pickering City Centre Tower 2 Condos,"CentreCourt, Cowie Capital Partners Inc, Salthill Capital",Pickering,Durham,high_rise,1,0,0,1,0.0,,,raw
Seaton Whitevale Phase 5,Mattamy Homes,Pickering,Durham,low_rise,2,0,0,2,0.0,,,raw
Seaton Whitevale Phase 6,Mattamy Homes,Pickering,Durham,low_rise,15,5,1,9,0.08,1.15,-4.02,raw
Seatonville by Fieldgate Homes,Fieldgate Homes,Pickering,Durham,low_rise,2,0,0,2,0.0,,,raw
Brooklin Towns,Madison Group,Whitby,Durham,low_rise,1,0,0,1,0.0,,,raw
Station No. 3 Condos,Brookfield Residential Ontario,Whitby,Durham,low_rise,9,0,0,9,0.0,,,raw
Whitby Meadows by Fieldgate Homes,Fieldgate Homes,Whitby,Durham,low_rise,3,0,0,3,0.0,,,raw
Creekside Condos,"Sutherland Development Group, York Trafalgar Homes",Milton,Halton,low_rise,7,0,7,0,-21.29,,-23.5,raw
Creekview Collective Towns,Branthaven Homes,Milton,Halton,low_rise,12,9,0,3,3.42,11.55,,raw
Hawthorne East Village Phase 4,Mattamy Homes,Milton,Halton,low_rise,8,0,7,1,-1.43,,-4.96,raw
Hawthorne East Village Phase 6,Mattamy Homes,Milton,Halton,low_rise,11,0,0,11,0.0,,,raw
Hawthorne East Village Phase 8,Mattamy Homes,Milton,Halton,low_rise,4,0,4,0,-1.29,,-1.37,raw
